Stock Code,Stock Name,Current Value,Change,Percentage Change,Market Cap,Industry,Day High,Day Low,Month High/Low
531017,Arihant's Securities Ltd.,14.94,0.03,0.20,14.99,14.89,,,XT /
531179,Arman Financial Services Ltd.,2376.45,-8.50,-0.36,2429.95,2376.40,,,B  / S&P BSE SmallCap
531179,Arman Financial Services Ltd.,2376.45,-8.50,-0.36,2429.95,2376.40,,,B  / S&P BSE SmallCap
532397,Arms Paper Ltd.,7.99,0.00,0.00,8.00,7.60,,,X  /
532397,Arms Paper Ltd.,7.99,0.00,0.00,8.00,7.60,,,X  /
537069,Arnold Holdings Ltd,18.15,0.37,2.08,18.22,17.51,,,X  /
537069,Arnold Holdings Ltd,18.15,0.37,2.08,18.22,17.51,,,X  /
513729,Aro Granite Industries Ltd.-$,55.05,-2.22,-3.88,57.94,54.65,,,B  /
513729,Aro Granite Industries Ltd.-$,55.05,-2.22,-3.88,57.94,54.65,,,B  /
516064,Arrow Greentech Ltd,346.00,0.10,0.03,347.50,346.00,,,T  /
516064,Arrow Greentech Ltd,346.00,0.10,0.03,347.50,346.00,,,T  /
